nttId,idx,req,org,org_joint,elect,area,contest,date,n,cont_rate,resp_rate,method1,method_rate1,frame1,method2,method_rate2,frame2,method3,method_rate3,frame3,method4,method_rate4,frame4,method5,method_rate5,frame5,qnaire_file,analysis_file
17342,15300,쿠키뉴스,한길리서치,,제9회 전국동시지방선거,전국 전체,정당지지도 (전국 정당지지도 ),"2026-02-07   10 시 00 분 ~ 21 시 00 분
2026-02-08   10 시 00 분 ~ 20 시 00 분
2026-02-09   20 시 30 분 ~ 21 시 30 분",1015,22.2%,2.1%,무선 ARS,96.2 %,"무선전화번호
RDD",유선전화면접,3.8 %,"유선전화번호
RDD",,,,,,,,,,전체질문지_한길리서치0210.pdf,결과분석_한길리서치0210.pdf
17311,15296,스트레이트뉴스,조원씨앤아이,,제9회 전국동시지방선거,전국 전체,"정기(정례)조사,정당지지도, (전국 정기(정례)조사 정당지지도 )","2026-02-07   11 시 30 분 ~ 18 시 33 분
2026-02-08   11 시 30 분 ~ 21 시 24 분
2026-02-09   12 시 02 분 ~ 15 시 48 분",2001,25.1%,4.1%,무선 ARS,100 %,"무선전화번호
RDD",,,,,,,,,,,,,설문지_스트레이트뉴스(26년+3차)_2월+1주_260205.pdf,스트레이트뉴스(26년+3차)+2월+1주+정기+여론조사+보고서_260210.pdf
17334,15288,인천일보,(주)리얼미터,,제9회 전국동시지방선거,경기도 고양시,"정당지지도,광역단체장선거,기초단체장선거 (경기도 고양시 정당지지도 광역단체장선거 기초단체장선거 교육감선거 등 )","2026-02-08   13 시 40 분 ~ 21 시 10 분
2026-02-09   12 시 10 분 ~ 17 시 40 분",502,58.1%,5.9%,무선 ARS,100 %,"무선전화번호
가상번호",,,,,,,,,,,,,(리얼-인천일보)설문지_경기+고양특례시+지방선거+여론조사.pdf,(리얼-인천일보)결과표_경기+고양특례시+지방선거+여론조사.pdf
17333,15287,포천뉴스,(주)리얼미터,,제9회 전국동시지방선거,경기도 가평군,"정당지지도,기초단체장선거, (경기도 가평군 정당지지도 기초단체장선거 )","2026-02-08   13 시 30 분 ~ 21 시 10 분
2026-02-09   12 시 00 분 ~ 16 시 50 분",700,47.4%,9.9%,무선 ARS,100 %,"무선전화번호
가상번호",,,,,,,,,,,,,(리얼-포천뉴스)설문지_가평군+지방선거+여론조사.pdf,(리얼-포천뉴스)결과통계표_가평군+지방선거+여론조사.pdf
17332,15286,포천뉴스,(주)리얼미터,,제9회 전국동시지방선거,경기도 포천시,"정당지지도,기초단체장선거,기초의원선거 (경기도 포천시 정당지지도 기초단체장선거 기초의원선거 )","2026-02-06   12 시 00 분 ~ 21 시 50 분
2026-02-07   10 시 00 분 ~ 21 시 50 분",1001,45.4%,8.9%,무선 ARS,100 %,"무선전화번호
가상번호",,,,,,,,,,,,,(리얼-포천뉴스)설문지_포천시+지방선거+관련+여론조사.pdf,(리얼-포천뉴스)결과통계표_포천시+지방선거+관련+여론조사.pdf
17323,15284,펜앤마이크,여론조사공정(주),,제9회 전국동시지방선거,전국 전체,정기(정례)조사 (전국 정기(정례)조사 ),"2026-02-08   18 시 40 분 ~ 21 시 50 분
2026-02-09   10 시 00 분 ~ 19 시 20 분",1000,21.0%,3.1%,무선 ARS,100 %,"무선전화번호
RDD",,,,,,,,,,,,,펜앤마이크_질문지_52차_Vol_05.pdf,260209-펜앤마이크52차-결과분석v1.pdf
17325,15282,브레이크뉴스 대구경북,(주)알앤써치,,제9회 전국동시지방선거,대구광역시 북구,"기초단체장선거,정당지지도, (대구광역시 북구 기초단체장선거정당지지도 )","2026-02-07   15 시 00 분 ~ 21 시 30 분
2026-02-08   18 시 00 분 ~ 21 시 00 분",506,57.1%,5.9%,무선 ARS,98.6 %,"무선전화번호
가상번호",유선 ARS,1.4 %,"유선전화번호
RDD",,,,,,,,,,22대구시북구청장+hwp.pdf,1대구+북구+여심위.pdf
17324,15281,브레이크뉴스 대구경북,(주)알앤써치,,제9회 전국동시지방선거,경상북도 의성군,기초단체장선거 (경상북도 의성군 기초단체장선거 ),"2026-02-07   13 시 00 분 ~ 20 시 30 분
2026-02-08   16 시 00 분 ~ 19 시 00 분",635,37.7%,14.7%,무선 ARS,99.1 %,"무선전화번호
가상번호",유선 ARS,0.9 %,"유선전화번호
RDD",,,,,,,,,,1의성군수+(1)+(3).pdf,여심위++의성군.pdf
17318,15280,서울의소리,(주)시그널앤펄스,,제9회 전국동시지방선거,인천광역시 전체,"광역단체장선거,교육감선거,정당지지도 (인천광역시 전체 광역단체장선거 교육감선거 정당지지도 )","2026-02-08   13 시 25 분 ~ 18 시 20 분
2026-02-09   14 시 40 분 ~ 19 시 50 분",1500,51.9%,6.5%,무선 ARS,100 %,"무선전화번호
가상번호",,,,,,,,,,,,,여론조사설문지_인천_서울의소리_260209.pdf,보도용_인천+여론조사+보고서_서울의소리_260209(수정).pdf
17320,15279,NGN뉴스,(주)리서치뷰,,제9회 전국동시지방선거,경기도 가평군,"기초단체장선거,정당지지도, (경기도 가평군 기초단체장선거 정당지지도 )","2026-02-08   10 시 00 분 ~ 21 시 00 분
2026-02-09   15 시 00 분 ~ 17 시 00 분",500,49.9%,7.9%,무선 ARS,100 %,"무선전화번호
가상번호",,,,,,,,,,,,,질문지_(NGN뉴스)_제9회_지방선거_경기_가평군_260209.pdf,결과분석_(NGN뉴스)_제9회_지방선거_경기_가평군_260209.pdf
